"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"40",10040,1,23383,33.43090833,-86.71233333,1,1,1,3,15,6,0,8,0,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,3,2,2,1,2,1,2,"Alabama",0
"41",10041,1,20391,34.37793333,-85.75579167,1,1,1,4,21,4,0,18,0,1,1,0,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"42",10042,1,23965,33.10606944,-87.46706944,2,2,1,7,18,2,0,8,0,3,3,0,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,"Alabama",0
"43",10043,1,20154,34.51033611,-85.76049444,1,1,2,2,3,4,0,19,0,1,1,0,5,2,10,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,"Alabama",0
"44",10044,1,23476,33.39817778,-86.77766944,2,2,1,7,3,1,0,52,0,1,1,0,3,3,1,1,1,2,1,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"45",10045,1,27263,30.62482222,-88.12466111,1,1,1,7,8,1,0,59,0,1,1,0,4,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"Alabama",0
"46",10046,1,24443,32.84681944,-85.18687778,1,1,2,1,2,1,0,42,0,1,1,0,4,6,1,1,1,2,1,2,2,1,2,2,2,2,2,3,1,2,2,2,2,2,"Alabama",0
"47",10047,1,27210,30.66823611,-88.05437222,2,2,1,5,0,6,0,19,0,1,1,0,5,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"48",10048,1,26928,30.97233333,-87.63953056,4,4,1,7,22,3,0,59,0,1,1,0,4,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,"Alabama",0
"49",10049,1,23073,33.529925,-86.88088611,2,2,1,5,1,6,0,12,0,2,2,0,1,6,1,1,1,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"50",10050,1,27031,30.84359444,-88.39520556,1,1,1,7,4,2,0,8,0,1,1,0,1,2,1,1,1,1,2,2,2,1,2,2,1,2,2,3,2,1,2,2,2,2,"Alabama",0
"51",10051,1,26233,31.82342222,-85.96047222,5,5,2,1,14,2,0,12,0,1,1,0,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,"Alabama",0
"52",10052,1,19738,34.72961667,-86.85619722,1,1,2,2,4,6,0,32,0,1,1,0,4,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"Alabama",0
"53",10053,1,24049,33.03825556,-86.22563056,3,3,2,1,17,2,0,35,0,1,1,0,4,2,2,1,1,1,2,1,2,1,2,2,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"54",10054,1,25371,32.44788333,-87.96390278,2,2,2,3,17,2,0,12,0,1,1,0,1,5,1,1,1,1,2,1,1,2,1,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"55",10055,1,19440,34.86791111,-86.57139167,1,1,2,4,2,2,0,8,0,1,1,0,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,1,2,2,"Alabama",0
"56",10056,1,27404,30.52108889,-87.45863889,1,1,2,1,2,2,0,59,0,1,1,0,4,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,"Alabama",1
"57",10057,1,20262,34.45239167,-85.78168333,3,3,2,4,17,3,0,12,0,1,1,0,1,2,1,1,1,1,2,1,1,3,2,1,2,1,2,3,1,1,2,2,2,2,"Alabama",0
"58",10058,1,26229,31.82686111,-86.6481,3,3,2,1,14,3,0,1,0,8,1,0,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"59",10059,1,19876,34.65318611,-87.52819722,1,1,2,3,22,3,0,8,0,1,1,0,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,"Alabama",0
"60",10060,1,20132,34.52244722,-85.82724444,7,7,2,3,17,6,0,12,0,1,1,0,1,2,10,1,1,1,2,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,"Alabama",0
"61",10061,1,21221,34.06270556,-87.82596944,3,3,2,6,21,3,0,1,0,1,1,0,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,"Alabama",1
"62",10062,1,19654,34.76898333,-86.49392222,1,1,2,7,10,2,0,19,0,1,1,0,5,1,1,1,1,2,2,1,2,1,2,2,2,2,2,3,2,2,1,2,2,2,"Alabama",0
"63",10063,1,26691,31.28759444,-85.70040556,3,3,2,1,3,2,0,1,0,1,1,0,4,2,1,1,1,2,2,2,2,1,2,2,2,1,2,3,2,2,2,2,2,2,"Alabama",1
"64",10064,1,27171,30.70100278,-88.12357222,1,1,2,4,0,1,0,8,0,1,1,0,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,3,2,2,2,2,2,2,"Alabama",0
"65",10065,1,27551,30.45154444,-87.680225,2,2,1,7,10,4,0,12,0,1,1,0,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"66",10066,1,25603,32.32658333,-86.29738611,2,2,2,1,1,6,0,42,0,1,1,0,3,3,10,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,"Alabama",1
"67",10067,1,25088,32.61580556,-85.50796111,8,8,2,4,11,3,0,12,0,1,1,0,1,1,1,1,1,2,2,1,1,3,2,2,2,2,2,3,1,1,2,2,2,2,"Alabama",0
"68",10068,1,25680,32.27960278,-85.38346389,1,1,2,1,18,4,0,1,0,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"69",10069,1,27196,30.68153889,-88.06909444,2,2,2,1,21,2,0,8,0,1,1,0,1,3,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,"Alabama",1
"70",10070,1,23183,33.493625,-86.16795833,1,1,2,1,3,4,0,34,0,1,1,0,4,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"71",10071,1,20547,34.2806,-86.19588056,4,4,2,6,22,3,0,12,0,1,1,0,1,6,3,1,1,2,2,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,"Alabama",0
